Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.04,8.80,526.7064,0.15 - 0.21,1,3.9E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,526.7064,0.17,3.5E4,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,8.75E3,0:1.00,0.17,,
,0.04,3.41,641.8441,19.94 - 20.26,1,1E3,-,-,0,-,-,0,641.8444,20.11,4.45E3,-,-,0,-,-,0,-,-,0,641.8438,20.13,3.24E3,641.8441,20.10,1.46E3,-,-,0,0:0:1.00:0:0:0:0.73:0.33:0,8.91E2,1.18E3,1.00:1.32,20.11,,
,0.04,8.76,547.8575,6.16 - 6.34,3,68.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,547.8563,6.34,4.82E2,547.8586,6.19,1.36E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.28:0:0,0,1.54E2,0:1.00,6.26,,
,0.04,8.76,668.3157,8.52 - 8.63,1,61.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,668.3157,8.58,5.56E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,1.39E2,0:1.00,8.58,,
,0.04,4.83,574.8535,8.93 - 15.07,1,1.3E4,574.8579,9.96,4.38E4,574.8521,10.47,3.37E3,-,-,0,-,-,0,574.8513,9.35,4.28E4,-,-,0,574.8529,10.43,2.38E4,-,-,0,-,-,0,13.02:1.00:0:0:12.72:0:7.07:0:0,1.8E4,5.96E3,1.00:0.33,10.05,,
,0.04,8.76,416.3383,0.14 - 1.96,1,3.7E4,416.3383,0.16,3.31E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,6.62E4,0,1.00:0,0.16,,
,0.04,8.76,741.8326,8.63 - 8.70,1,16.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,741.8326,8.66,1.51E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.77E1,0:1.00,8.66,,
,0.04,4.77,638.2383,8.09 - 8.45,1,685.1,-,-,0,638.2380,8.27,1.85E3,-,-,0,-,-,0,-,-,0,-,-,0,638.2380,8.24,2.38E3,638.2388,8.18,1.94E3,-,-,0,0:1.00:0:0:0:0:1.29:1.05:0,3.69E2,1.08E3,1.00:2.92,8.23,,
,0.04,8.76,351.1114,0.11 - 0.30,1,300.8,-,-,0,351.1114,0.25,2.71E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.41E2,0,1.00:0,0.25,,
,0.04,8.76,698.8035,2.08 - 2.33,1,55.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,698.8004,2.31,3.57E2,-,-,0,698.8065,2.10,1.41E2,-,-,0,0:0:0:0:0:1.00:0:0.40:0,0,1.24E2,0:1.00,2.20,,
,0.04,8.76,842.7282,6.28 - 6.33,1,26.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,842.7282,6.31,2.4E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.99E1,0:1.00,6.31,,
,0.04,3.23,845.2716,19.76 - 20.13,1,148.7,-,-,0,845.2699,19.79,3.18E2,-,-,0,-,-,0,845.2710,20.06,4.77E2,845.2739,20.07,5.43E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.50:1.71:0:0:0,1.59E2,1.36E2,1.00:0.85,19.97,,
,0.04,8.81,532.1599,4.11 - 4.21,1,226.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,532.1599,4.14,2.04E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.1E2,0:1.00,4.14,,
,0.04,8.81,427.0422,0.41 - 0.56,1,217.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,427.0422,0.48,1.95E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.88E2,0:1.00,0.48,,
,0.04,4.74,653.8770,20.09 - 20.27,1,353.4,-,-,0,653.8765,20.19,9.65E2,-,-,0,-,-,0,-,-,0,-,-,0,653.8769,20.21,8.02E2,-,-,0,653.8777,20.20,1.41E3,0:1.00:0:0:0:0:0.83:0:1.46,1.93E2,5.54E2,1.00:2.87,20.20,,
,0.04,8.81,543.8463,3.58 - 3.64,2,9.4,-,-,0,543.8463,3.61,8.42E1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.68E1,0,1.00:0,3.61,,
,0.04,3.08,611.8345,17.99 - 20.19,1,3E3,-,-,0,611.8320,19.17,1.46E4,-,-,0,-,-,0,-,-,0,611.8357,18.37,7.34E3,611.8365,18.78,4.33E3,611.8339,18.28,6.7E2,-,-,0,0:1.00:0:0:0:0.50:0.30:0.05:0,2.92E3,3.08E3,1.00:1.06,18.65,,
,0.04,8.81,749.8392,19.63 - 20.22,1,1E3,749.8384,20.13,3.66E3,749.8395,20.13,3.51E3,-,-,0,749.8395,19.69,1.94E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.04:1.00:0:0.55:0:0:0:0:0,1.82E3,0,1.00:0,19.98,,
,0.04,8.81,719.8611,19.59 - 20.26,1,739.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,719.8604,19.67,2.91E3,719.8617,19.72,2.35E3,719.8612,19.83,1.4E3,-,-,0,0:0:0:0:0:1.00:0.81:0.48:0,0,1.66E3,0:1.00,19.74,,
,0.04,4.59,328.9047,7.87 - 9.71,3,412.9,-,-,0,328.9055,8.01,2.86E3,-,-,0,-,-,0,-,-,0,328.9041,8.79,1.57E2,328.9048,9.58,2.57E2,328.9046,8.75,4.47E2,-,-,0,0:1.00:0:0:0:0.05:0.09:0.16:0,5.71E2,2.15E2,1.00:0.38,8.78,,
,0.04,4.02,792.3263,20.08 - 20.21,1,346.4,-,-,0,792.3261,20.13,1.23E3,-,-,0,-,-,0,-,-,0,-,-,0,792.3255,20.13,7.83E2,792.3274,20.14,1.11E3,-,-,0,0:1.00:0:0:0:0:0.64:0.90:0,2.46E2,4.72E2,1.00:1.92,20.13,,
,0.04,8.81,470.3245,0.46 - 0.87,1,934.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,470.3246,0.74,3.63E3,-,-,0,470.3244,0.73,8.86E2,470.3245,0.72,3.89E3,0:0:0:0:0:1.00:0:0.24:1.07,0,2.1E3,0:1.00,0.73,,
,0.04,4.87,739.3167,19.83 - 20.11,1,125,-,-,0,739.3175,20.08,3.37E2,-,-,0,-,-,0,739.3146,19.79,5.55E2,739.3181,19.87,2.33E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.65:0.69:0:0:0,1.78E2,5.82E1,1.00:0.33,19.91,,
,0.04,3.35,302.8474,1.86 - 9.19,1,4.6E4,-,-,0,302.8474,3.93,9.04E4,-,-,0,302.8474,4.19,1.13E5,-,-,0,302.8475,4.13,1.17E5,-,-,0,302.8473,3.35,8.99E4,-,-,0,0:1.00:0:1.25:0:1.30:0:0.99:0,4.07E4,5.18E4,1.00:1.27,3.90,,
,0.04,8.81,543.8472,18.91 - 20.09,1,959.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,543.8470,18.97,3.45E3,-,-,0,543.8468,19.30,2.42E3,543.8477,19.46,2.76E3,0:0:0:0:0:1.00:0:0.70:0.80,0,2.16E3,0:1.00,19.24,,
,0.04,3.54,470.8874,0.92 - 7.82,2,1.4E4,470.8868,2.76,3.32E4,470.8871,2.79,2.6E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,470.8876,2.82,3.25E4,470.8882,2.26,3.53E4,1.27:1.00:0:0:0:0:0:1.25:1.36,1.18E4,1.7E4,1.00:1.43,2.66,,
,0.04,8.81,268.1201,5.29 - 5.34,1,7.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,268.1201,5.32,6.89E1,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,1.72E1,0:1.00,5.32,,
,0.04,8.81,381.9242,0.29 - 0.56,3,143.2,381.9242,0.33,1.29E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.58E2,0,1.00:0,0.33,,
,0.04,4.82,438.8233,15.56 - 17.03,1,1.8E3,438.8239,16.15,5.66E3,-,-,0,-,-,0,438.8229,15.93,7.24E3,-,-,0,-,-,0,438.8229,16.20,3.46E3,-,-,0,-,-,0,1.00:0:0:1.28:0:0:0.61:0:0,2.58E3,8.64E2,1.00:0.33,16.09,,
,0.04,8.81,414.1193,3.30 - 3.54,1,92.3,414.1193,3.37,5.07E2,-,-,0,414.1192,3.44,3.24E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.64:0:0:0:0:0:0,1.66E2,0,1.00:0,3.41,,
,0.04,4.77,762.4270,3.38 - 4.08,1,2.2E3,-,-,0,-,-,0,-,-,0,-,-,0,762.4269,4.01,1.53E4,-,-,0,762.4271,4.01,4.22E3,-,-,0,-,-,0,0:0:0:0:1.00:0:0.28:0:0,3.06E3,1.05E3,1.00:0.34,4.01,,
,0.04,8.81,439.3224,4.17 - 4.31,2,90.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,439.3224,4.26,8.14E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.04E2,0:1.00,4.26,,
,0.04,8.81,695.2971,7.51 - 7.58,2,44.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,695.2971,7.54,4.02E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,1.01E2,0:1.00,7.54,,
,0.04,4.01,1049.7693,20.07 - 20.23,1,1.3E3,1049.7731,20.16,4.26E3,-,-,0,1049.7656,20.15,3.87E3,-,-,0,-,-,0,-,-,0,1049.7693,20.14,3.4E3,-,-,0,-,-,0,1.00:0:0.91:0:0:0:0.80:0:0,1.63E3,8.49E2,1.00:0.52,20.15,,
,0.04,8.81,543.8469,16.85 - 20.13,1,2.8E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,543.8472,17.49,5.2E3,-,-,0,543.8470,17.90,1.02E4,543.8464,16.97,1.02E4,0:0:0:0:0:1.00:0:1.97:1.96,0,6.41E3,0:1.00,17.45,,
,0.04,6.63,419.0516,1.53 - 1.73,1,576.4,-,-,0,-,-,0,-,-,0,-,-,0,419.0512,1.60,7.93E2,419.0521,1.60,3.5E3,-,-,0,-,-,0,419.0516,1.60,8.93E2,0:0:0:0:1.00:4.41:0:0:1.13,1.59E2,1.1E3,1.00:6.92,1.60,,
,0.04,5.01,983.7863,20.10 - 20.25,1,446.4,-,-,0,-,-,0,-,-,0,983.7861,20.17,1.1E3,-,-,0,-,-,0,-,-,0,983.7852,20.16,1.45E3,983.7876,20.13,1.47E3,0:0:0:1.00:0:0:0:1.31:1.33,2.21E2,7.28E2,1.00:3.30,20.16,,
,0.04,8.81,602.8201,13.54 - 13.62,1,17.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,602.8201,13.56,1.57E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,3.92E1,0:1.00,13.56,,
,0.04,4.18,462.0806,1.43 - 2.44,1,1.4E3,462.0811,2.22,7.46E3,-,-,0,462.0796,2.22,1.43E3,-,-,0,-,-,0,462.0810,2.23,3.36E3,-,-,0,-,-,0,-,-,0,1.00:0:0.19:0:0:0.45:0:0:0,1.78E3,8.41E2,1.00:0.47,2.22,,
,0.04,3.65,769.7944,4.36 - 4.48,1,32.6,-,-,0,769.7958,4.40,1.93E2,-,-,0,-,-,0,-,-,0,769.7931,4.47,1E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.52:0:0:0,3.86E1,2.5E1,1.00:0.65,4.44,,
,0.04,8.76,997.7642,20.09 - 20.25,1,229.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,997.7642,20.22,2.06E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.16E2,0:1.00,20.22,,
,0.04,3.45,1419.6924,20.13 - 20.22,1,510.3,-,-,0,-,-,0,1419.6892,20.20,2.2E3,-,-,0,-,-,0,-,-,0,-,-,0,1419.6952,20.16,1.09E3,1419.6927,20.20,1.3E3,0:0:1.00:0:0:0:0:0.49:0.59,4.41E2,5.97E2,1.00:1.36,20.19,,
,0.04,6.34,632.7527,16.04 - 16.97,1,403,-,-,0,632.7523,16.69,6.09E2,-,-,0,-,-,0,-,-,0,632.7592,16.11,5.48E2,632.7477,16.63,2.22E3,632.7515,16.20,2.47E2,-,-,0,0:1.00:0:0:0:0.90:3.65:0.41:0,1.22E2,7.54E2,1.00:6.19,16.41,,
,0.04,8.71,1217.3877,20.16 - 20.24,1,53.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1217.3877,20.20,4.83E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.21E2,0:1.00,20.20,,
,0.04,4.30,720.3624,20.08 - 20.22,2,1.1E3,-,-,0,-,-,0,720.3619,20.16,3.59E3,-,-,0,-,-,0,720.3604,20.15,4.13E3,-,-,0,720.3651,20.14,2.44E3,-,-,0,0:0:1.00:0:0:1.15:0:0.68:0,7.19E2,1.64E3,1.00:2.29,20.15,,
,0.04,8.67,475.7810,1.69 - 1.75,2,31.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,475.7810,1.69,2.81E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.03E1,0:1.00,1.69,,
,0.04,8.67,1545.7010,20.16 - 20.22,1,146.9,1545.7010,20.18,1.32E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.64E2,0,1.00:0,20.18,,
,0.04,3.35,718.8567,11.58 - 17.71,1,2E3,-,-,0,718.8557,16.39,6.96E3,718.8579,16.78,4.08E3,-,-,0,-,-,0,718.8582,16.84,5.19E3,718.8550,16.58,-,-,-,0,-,-,0,0:1.00:0.59:0:0:0.75:-:0:0,2.21E3,1.73E3,1.00:0.78,16.65,,
,0.04,3.70,666.5084,0.80 - 1.42,3,366.5,666.5087,1.06,1.76E3,666.5079,1.07,4.42E2,-,-,0,-,-,0,-,-,0,-,-,0,666.5086,1.29,1.1E3,-,-,0,-,-,0,3.97:1.00:0:0:0:0:2.49:0:0,4.4E2,2.75E2,1.00:0.63,1.14,,
,0.04,8.76,302.9767,0.31 - 0.44,3,1.1E3,-,-,0,-,-,0,302.9767,0.35,9.78E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.96E3,0,1.00:0,0.35,,
,0.04,8.76,520.8363,20.88 - 22.00,1,462.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,520.8363,20.93,4.16E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.04E3,0:1.00,20.93,,
,0.04,3.14,679.3181,19.92 - 20.11,1,333.6,-,-,0,679.3179,19.99,6.27E2,-,-,0,679.3184,20.05,1.11E3,-,-,0,679.3180,20.08,1.26E3,-,-,0,-,-,0,-,-,0,0:1.00:0:1.78:0:2.01:0:0:0,3.48E2,3.15E2,1.00:0.91,20.04,,
,0.04,4.47,858.7687,15.84 - 16.85,1,1E3,858.7668,16.09,2.15E3,-,-,0,-,-,0,858.7699,15.98,4.74E3,-,-,0,-,-,0,-,-,0,-,-,0,858.7693,16.20,2.21E3,1.00:0:0:2.21:0:0:0:0:1.03,1.38E3,5.51E2,1.00:0.40,16.09,,
,0.04,8.76,366.8753,0.63 - 6.67,3,8.8E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,366.8749,1.67,7.08E5,-,-,0,366.8757,0.68,-,-,-,0,0:0:0:0:0:1.00:0:-:0,0,2.36E5,0:1.00,1.17,,
,0.04,8.76,386.8102,15.67 - 15.73,1,10.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,386.8102,15.70,9.34E1,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.34E1,0:1.00,15.70,,
,0.04,8.76,706.7500,11.29 - 11.38,1,19.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,706.7500,11.29,1.79E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.47E1,0:1.00,11.29,,
,0.04,8.81,284.1146,18.41 - 18.50,1,22.9,-,-,0,284.1146,18.44,2.06E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.12E1,0,1.00:0,18.44,,
,0.04,8.85,906.7764,10.24 - 10.32,1,22.3,-,-,0,906.7764,10.28,2E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.01E1,0,1.00:0,10.28,,
,0.04,8.81,629.5599,12.47 - 12.86,1,2.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,629.5599,12.63,1.92E4,0:0:0:0:0:0:0:0:1.00,0,4.8E3,0:1.00,12.63,,
,0.04,8.81,731.1191,1.17 - 1.27,1,76.2,-,-,0,-,-,0,-,-,0,731.1191,1.21,6.85E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.37E2,0,1.00:0,1.21,,
,0.04,3.62,401.9139,16.36 - 16.68,1,59.6,-,-,0,401.9143,16.65,2.43E2,-,-,0,-,-,0,-,-,0,401.9135,16.39,2.93E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.21:0:0:0,4.85E1,7.33E1,1.00:1.51,16.52,,
,0.04,3.06,505.3330,4.29 - 5.20,1,2.1E3,505.3330,4.56,1.07E4,-,-,0,-,-,0,-,-,0,-,-,0,505.3329,5.06,1.16E3,505.3332,4.56,7.05E3,-,-,0,-,-,0,1.00:0:0:0:0:0.11:0.66:0:0,2.14E3,2.05E3,1.00:0.96,4.73,,
,0.04,8.82,555.8173,20.24 - 20.32,1,15.6,-,-,0,555.8173,20.27,1.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.81E1,0,1.00:0,20.27,,
,0.04,3.24,793.8663,16.29 - 17.86,1,1.3E3,-,-,0,793.8654,16.71,6E3,-,-,0,-,-,0,-,-,0,793.8666,16.99,4.67E3,793.8670,16.59,9.65E2,-,-,0,-,-,0,0:1.00:0:0:0:0.78:0.16:0:0,1.2E3,1.41E3,1.00:1.17,16.76,,
,0.04,5.91,310.8828,17.47 - 18.15,1,363,-,-,0,-,-,0,310.8826,17.74,6.52E2,-,-,0,-,-,0,310.8832,17.97,1.56E3,310.8826,17.97,1.05E3,-,-,0,-,-,0,0:0:1.00:0:0:2.40:1.62:0:0,1.3E2,6.54E2,1.00:5.02,17.89,,
,0.04,4.07,503.0679,1.40 - 2.53,1,1.4E3,-,-,0,-,-,0,-,-,0,503.0677,1.91,4.78E3,-,-,0,503.0684,1.87,3.47E3,-,-,0,503.0676,1.63,4.07E3,-,-,0,0:0:0:1.00:0:0.73:0:0.85:0,9.57E2,1.88E3,1.00:1.97,1.81,,
,0.04,3.02,718.8191,19.61 - 20.23,2,487.7,718.8180,20.05,1.24E3,718.8202,19.87,1.05E3,718.8190,19.63,1.33E2,-,-,0,-,-,0,-,-,0,718.8192,20.13,1.96E3,-,-,0,-,-,0,1.18:1.00:0.13:0:0:0:1.86:0:0,4.86E2,4.9E2,1.00:1.01,19.92,,
,0.04,5.51,386.8212,9.85 - 11.30,1,484.6,-,-,0,386.8211,10.32,3.82E2,-,-,0,-,-,0,386.8211,10.38,3.28E3,386.8204,10.93,3.95E2,-,-,0,386.8220,10.27,3.03E2,-,-,0,0:1.00:0:0:8.58:1.03:0:0.79:0,7.33E2,1.75E2,1.00:0.24,10.48,,
,0.04,8.76,494.8196,4.21 - 10.29,2,1.6E4,-,-,0,494.8194,5.20,4.77E3,-,-,0,-,-,0,494.8207,5.07,2.53E3,494.8188,5.29,1.41E5,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0.53:29.50:0:0:0,1.46E3,3.52E4,1.00:24.10,5.19,,
,0.04,3.64,1487.6869,20.14 - 20.23,1,384.1,-,-,0,-,-,0,-,-,0,-,-,0,1487.6838,20.19,1.55E3,-,-,0,1487.6899,20.20,1.9E3,-,-,0,-,-,0,0:0:0:0:1.00:0:1.22:0:0,3.11E2,4.75E2,1.00:1.53,20.20,,
,0.04,8.77,373.1668,0.16 - 0.61,1,1.5E3,-,-,0,-,-,0,-,-,0,-,-,0,373.1668,0.18,1.39E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,2.79E3,0,1.00:0,0.18,,
,0.04,3.15,491.2638,3.71 - 9.80,1,9.8E3,491.2640,4.81,1.86E4,-,-,0,491.2638,4.35,2.79E4,-,-,0,-,-,0,491.2636,4.80,4.14E4,-,-,0,-,-,0,-,-,0,1.00:0:1.50:0:0:2.22:0:0:0,9.31E3,1.03E4,1.00:1.11,4.65,,
,0.04,3.41,274.0219,10.36 - 14.99,1,2.5E3,-,-,0,274.0216,13.08,1.1E4,-,-,0,-,-,0,-,-,0,274.0216,12.64,4.59E3,-,-,0,274.0226,12.27,7.01E3,-,-,0,0:1.00:0:0:0:0.42:0:0.64:0,2.2E3,2.9E3,1.00:1.32,12.66,,
,0.04,3.78,431.9956,0.34 - 0.60,3,828.1,-,-,0,-,-,0,-,-,0,-,-,0,431.9942,0.50,3.19E3,-,-,0,431.9960,0.48,1.54E3,431.9966,0.52,2.72E3,-,-,0,0:0:0:0:1.00:0:0.48:0.85:0,6.39E2,1.06E3,1.00:1.67,0.50,,
,0.04,8.77,498.8602,17.91 - 18.13,1,37,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,498.8600,18.09,1.68E2,498.8605,17.93,1.65E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.98:0:0,0,8.32E1,0:1.00,18.01,,
,0.04,8.77,755.7784,19.25 - 19.35,1,29.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,755.7784,19.31,2.67E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,6.68E1,0:1.00,19.31,,
,0.04,4.41,772.2705,19.67 - 20.09,1,269.6,-,-,0,772.2704,19.68,8.28E2,-,-,0,-,-,0,-,-,0,772.2716,19.89,7.45E2,-,-,0,772.2697,19.93,8.53E2,-,-,0,0:1.00:0:0:0:0.90:0:1.03:0,1.66E2,4E2,1.00:2.41,19.83,,
,0.04,8.73,576.7961,8.74 - 15.15,1,1.6E3,-,-,0,576.7967,8.79,5.42E2,-,-,0,-,-,0,-,-,0,576.7961,10.15,1.02E4,-,-,0,576.7957,9.33,5.79E2,576.7959,9.55,3.31E3,0:1.00:0:0:0:18.89:0:1.07:6.12,1.08E2,3.53E3,1.00:32.59,9.46,,
,0.04,8.73,1276.7640,20.14 - 20.22,2,199.4,-,-,0,-,-,0,1276.7633,20.20,1.08E3,1276.7646,20.17,7.12E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.66:0:0:0:0:0,3.59E2,0,1.00:0,20.19,,
,0.04,8.73,635.7598,8.33 - 9.18,1,48.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,635.7589,8.34,1.41E2,635.7607,9.14,1.88E2,635.7599,8.74,1.07E2,-,-,0,0:0:0:0:0:1.00:1.33:0.76:0,0,1.09E2,0:1.00,8.74,,
,0.04,8.73,1447.7183,20.16 - 20.22,1,60.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1447.7183,20.19,5.48E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.37E2,0:1.00,20.19,,
,0.04,8.73,1175.7793,10.46 - 10.55,1,31.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1175.7793,10.55,2.87E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.19E1,0:1.00,10.55,,
,0.04,3.85,611.8338,17.44 - 18.28,1,406.7,-,-,0,611.8337,17.58,1.52E3,-,-,0,-,-,0,-,-,0,-,-,0,611.8339,17.78,1.5E3,611.8339,18.11,6.33E2,-,-,0,0:1.00:0:0:0:0:0.99:0.42:0,3.05E2,5.34E2,1.00:1.75,17.82,,
,0.04,4.96,486.7872,18.15 - 18.92,2,521,-,-,0,-,-,0,486.7873,18.51,1.3E3,-,-,0,-,-,0,486.7868,18.30,8.1E2,-,-,0,-,-,0,486.7874,18.49,2.58E3,0:0:1.00:0:0:0.62:0:0:1.98,2.6E2,8.47E2,1.00:3.25,18.43,,
,0.04,8.73,1303.3948,20.19 - 20.22,1,37.6,-,-,0,-,-,0,-,-,0,-,-,0,1303.3948,20.20,3.39E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,6.77E1,0,1.00:0,20.20,,
,0.04,4.30,574.8507,13.24 - 15.79,1,1.2E3,-,-,0,574.8512,13.45,2.99E3,-,-,0,-,-,0,574.8513,13.35,5.32E3,-,-,0,574.8497,13.65,2.92E3,-,-,0,-,-,0,0:1.00:0:0:1.78:0:0.98:0:0,1.66E3,7.3E2,1.00:0.44,13.48,,
,0.04,8.68,774.7348,8.92 - 8.98,1,27.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,774.7348,8.94,2.5E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,6.25E1,0:1.00,8.94,,
,0.04,8.68,329.8460,4.49 - 4.58,1,29.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,329.8460,4.52,2.66E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,6.65E1,0:1.00,4.52,,
,0.04,8.68,662.6821,0.10 - 0.23,1,5.5E4,-,-,0,-,-,0,662.6812,0.16,3.62E5,662.6830,0.18,1.37E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.38:0:0:0:0:0,9.98E4,0,1.00:0,0.17,,
,0.04,4.44,987.3016,20.00 - 20.21,2,1.4E3,987.2993,20.16,6.48E3,987.3013,20.16,3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,987.3041,20.17,3.06E3,2.16:1.00:0:0:0:0:0:0:1.02,1.89E3,7.65E2,1.00:0.40,20.16,,
