Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,HSDL2-b_A00_neg m/z,HSDL2-b_A00_neg RT mean,HSDL2-b_A00_neg Normalized Area,HSDL2-b_A04_neg m/z,HSDL2-b_A04_neg RT mean,HSDL2-b_A04_neg Normalized Area,HSDL2-b_A05_neg m/z,HSDL2-b_A05_neg RT mean,HSDL2-b_A05_neg Normalized Area,HSDL2-b_A06_neg m/z,HSDL2-b_A06_neg RT mean,HSDL2-b_A06_neg Normalized Area,HSDL2-b_A07_neg m/z,HSDL2-b_A07_neg RT mean,HSDL2-b_A07_neg Normalized Area,HSDL2-b_A08_neg m/z,HSDL2-b_A08_neg RT mean,HSDL2-b_A08_neg Normalized Area,HSDL2-b_A09_neg m/z,HSDL2-b_A09_neg RT mean,HSDL2-b_A09_neg Normalized Area,HSDL2-b_A10_neg m/z,HSDL2-b_A10_neg RT mean,HSDL2-b_A10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.05,8.26,594.6715,0.13 - 0.27,3,7.2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,594.6715,0.19,5.72E4,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,8.17E3,0,1.00:0,0.19,,
,0.05,8.26,354.9286,1.04 - 1.78,3,295.8,-,-,0,-,-,0,354.9292,1.34,6.34E2,-,-,0,354.9277,1.27,3.5E2,-,-,0,354.9291,1.30,1.38E3,-,-,0,0:0:1.00:0:0.55:0:2.18:0,3.38E2,0,1.00:0,1.30,,
,0.05,8.26,756.7208,10.48 - 10.54,1,10.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,756.7208,10.52,8.53E1,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.22E1,0,1.00:0,10.52,,
,0.05,8.26,1075.0042,17.91 - 17.96,1,19.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1075.0042,17.92,1.53E2,0:0:0:0:0:0:0:1.00,0,1.53E2,0:1.00,17.92,,
,0.05,8.26,424.0917,0.97 - 1.06,1,35.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,424.0917,1.00,2.85E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,4.08E1,0,1.00:0,1.00,,
,0.05,8.26,1478.4534,21.31 - 21.36,1,22.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1478.4534,21.33,1.77E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,2.53E1,0,1.00:0,21.33,,
,0.05,4.65,582.7809,3.29 - 4.69,1,506.1,-,-,0,-,-,0,582.7821,3.82,1.05E3,-,-,0,582.7803,3.59,1.8E3,-,-,0,-,-,0,582.7803,3.95,1.2E3,0:0:0.88:0:1.50:0:0:1.00,4.07E2,1.2E3,0.34:1.00,3.79,,
,0.05,8.26,455.3500,0.90 - 0.99,2,24.7,-,-,0,-,-,0,-,-,0,455.3500,0.93,1.98E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,2.82E1,0,1.00:0,0.93,,
,0.05,3.71,615.7340,2.62 - 3.64,1,722,-,-,0,-,-,0,-,-,0,-,-,0,615.7352,3.09,2.85E3,-,-,0,615.7335,2.88,2.47E3,615.7333,2.91,4.61E2,0:0:0:0:6.18:0:5.36:1.00,7.59E2,4.61E2,1.65:1.00,2.96,,
,0.05,8.26,642.7345,11.81 - 11.88,1,30.5,642.7345,11.86,2.44E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0,3.49E1,0,1.00:0,11.86,,
,0.05,8.26,1318.4309,21.50 - 21.57,1,41.3,-,-,0,-,-,0,-,-,0,-,-,0,1318.4309,21.54,3.31E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,4.72E1,0,1.00:0,21.54,,
,0.05,8.29,644.7524,6.33 - 7.60,1,62.4,644.7515,7.57,2.09E2,-,-,0,644.7535,6.37,2.14E2,-,-,0,-,-,0,644.7522,7.35,7.57E1,-,-,0,-,-,0,1.00:0:1.02:0:0:0.36:0:0,7.13E1,0,1.00:0,7.10,,
,0.05,8.29,485.7915,6.11 - 8.04,1,338.7,485.7913,7.95,6.62E2,485.7912,6.96,1.77E2,485.7918,6.41,1.67E3,-,-,0,-,-,0,485.7918,7.46,1.98E2,-,-,0,-,-,0,1.00:0.27:2.53:0:0:0.30:0:0,3.87E2,0,1.00:0,7.20,,
,0.05,8.29,482.7545,1.52 - 4.73,1,795.6,-,-,0,482.7545,2.12,8.62E2,-,-,0,482.7543,2.08,7.09E2,-,-,0,-,-,0,-,-,0,482.7547,1.74,4.79E3,0:0.18:0:0.15:0:0:0:1.00,2.25E2,4.79E3,0.05:1.00,1.98,,
,0.05,8.29,374.8396,21.51 - 21.58,1,6.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,374.8396,21.53,4.9E1,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,6.99E0,0,1.00:0,21.53,,
,0.05,3.65,538.7871,5.25 - 7.16,1,151.1,-,-,0,538.7883,6.78,7.38E1,-,-,0,-,-,0,538.7869,6.99,8.35E2,538.7861,6.12,1.99E2,-,-,0,538.7869,5.28,1E2,0:0.74:0:0:8.35:1.99:0:1.00,1.58E2,1E2,1.58:1.00,6.29,,
,0.05,8.29,1377.4587,21.36 - 21.43,1,23.7,-,-,0,-,-,0,-,-,0,1377.4587,21.37,1.89E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,2.71E1,0,1.00:0,21.37,,
,0.05,3.97,491.8101,10.19 - 11.37,1,562.5,491.8105,11.00,2.04E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,491.8092,10.34,1.48E3,491.8106,10.53,9.83E2,2.07:0:0:0:0:0:1.50:1.00,5.03E2,9.83E2,0.51:1.00,10.62,,
,0.05,8.29,479.7589,0.04 - 8.69,1,1.8E4,479.7591,3.69,1.38E4,-,-,0,479.7584,3.69,5.47E4,-,-,0,-,-,0,479.7595,3.38,2.14E4,479.7588,2.95,5.14E4,-,-,0,1.00:0:3.97:0:0:1.55:3.73:0,2.02E4,0,1.00:0,3.43,,
,0.05,8.25,537.7890,16.26 - 17.62,1,699.5,537.7894,16.75,3.12E3,-,-,0,537.7896,16.88,1.21E3,-,-,0,-,-,0,537.7880,16.43,1.27E3,-,-,0,-,-,0,1.00:0:0.39:0:0:0.41:0:0,7.99E2,0,1.00:0,16.69,,
,0.05,8.29,440.1357,3.64 - 3.85,1,154.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,440.1357,3.73,1.23E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.76E2,0,1.00:0,3.73,,
,0.05,8.29,351.7908,7.71 - 8.30,2,155.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,351.7908,8.10,1.24E3,-,-,0,0:0:0:0:0:0:1.00:0,1.77E2,0,1.00:0,8.10,,
,0.05,8.29,427.8599,20.86 - 21.24,6,620.9,427.8590,21.02,1.52E3,-,-,0,427.8600,21.08,1.81E3,427.8605,21.04,1.64E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.19:1.08:0:0:0:0,7.1E2,0,1.00:0,21.05,,
,0.05,3.75,459.7728,12.84 - 15.03,3,598,459.7724,13.02,3E3,-,-,0,-,-,0,-,-,0,-,-,0,459.7729,13.06,8.55E2,-,-,0,459.7730,13.48,9.31E2,3.22:0:0:0:0:0.92:0:1.00,5.5E2,9.31E2,0.59:1.00,13.19,,
,0.05,8.29,497.7430,0.03 - 0.13,1,26.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,497.7430,0.09,2.14E2,0:0:0:0:0:0:0:1.00,0,2.14E2,0:1.00,0.09,,
,0.05,8.29,1095.0167,21.50 - 21.56,2,17.7,-,-,0,-,-,0,1095.0167,21.54,1.42E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0,2.02E1,0,1.00:0,21.54,,
,0.05,8.29,916.0548,9.44 - 9.53,1,19.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,916.0548,9.48,1.57E2,0:0:0:0:0:0:0:1.00,0,1.57E2,0:1.00,9.48,,
,0.05,8.29,701.1169,1.44 - 1.51,1,24.4,-,-,0,-,-,0,-,-,0,701.1169,1.48,1.95E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,2.79E1,0,1.00:0,1.48,,
,0.05,8.29,606.7165,22.45 - 22.80,1,21.6,-,-,0,-,-,0,-,-,0,606.7169,22.77,9.07E1,-,-,0,606.7161,22.48,8.21E1,-,-,0,-,-,0,0:0:0:1.00:0:0.90:0:0,2.47E1,0,1.00:0,22.62,,
,0.05,8.29,1473.3870,21.39 - 21.47,1,30,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1473.3870,21.46,2.4E2,0:0:0:0:0:0:0:1.00,0,2.4E2,0:1.00,21.46,,
,0.05,8.29,493.8069,8.83 - 9.20,1,168.7,493.8068,8.95,6.12E2,-,-,0,-,-,0,493.8073,9.02,2.07E2,-,-,0,-,-,0,493.8067,9.14,5.31E2,-,-,0,1.00:0:0:0.34:0:0:0.87:0,1.93E2,0,1.00:0,9.04,,
,0.05,8.29,727.7889,14.79 - 14.87,1,31.3,727.7889,14.80,2.5E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0,3.58E1,0,1.00:0,14.80,,
,0.05,8.29,510.6208,0.13 - 0.23,3,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,510.6208,0.17,9.22E4,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.32E4,0,1.00:0,0.17,,
,0.05,8.29,477.8336,18.10 - 18.33,1,135.6,477.8336,18.30,2.67E2,-,-,0,-,-,0,477.8336,18.17,3.14E2,477.8336,18.25,5.04E2,-,-,0,-,-,0,-,-,0,1.00:0:0:1.17:1.88:0:0:0,1.55E2,0,1.00:0,18.24,,
,0.05,8.29,622.6523,1.29 - 1.41,1,35.7,-,-,0,-,-,0,-,-,0,-,-,0,622.6523,1.40,2.85E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,4.08E1,0,1.00:0,1.40,,
,0.05,8.29,818.3218,4.48 - 4.63,1,113,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,818.3218,4.55,9.04E2,0:0:0:0:0:0:0:1.00,0,9.04E2,0:1.00,4.55,,
,0.05,8.29,1361.4189,21.50 - 21.58,1,15.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1361.4189,21.54,1.23E2,0:0:0:0:0:0:0:1.00,0,1.23E2,0:1.00,21.54,,
,0.05,8.29,528.1357,0.16 - 0.23,1,1.9E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,528.1357,0.19,1.49E4,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,2.13E3,0,1.00:0,0.19,,
,0.05,8.29,713.5768,14.11 - 14.31,1,166.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,713.5768,14.21,1.33E3,0:0:0:0:0:0:0:1.00,0,1.33E3,0:1.00,14.21,,
,0.05,8.29,1101.2764,10.85 - 11.02,1,57.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1101.2764,10.92,4.57E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,6.52E1,0,1.00:0,10.92,,
,0.05,8.29,502.8401,3.81 - 3.88,1,23.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,502.8401,3.87,1.9E2,-,-,0,0:0:0:0:0:0:1.00:0,2.71E1,0,1.00:0,3.87,,
,0.05,8.29,1438.4474,21.35 - 21.41,1,25.2,-,-,0,-,-,0,-,-,0,1438.4474,21.41,2.02E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,2.89E1,0,1.00:0,21.41,,
,0.05,3.83,482.7544,4.16 - 8.89,1,1.7E3,-,-,0,482.7546,4.35,4.32E3,-,-,0,482.7536,4.74,6.5E3,-,-,0,-,-,0,-,-,0,482.7549,4.88,2.77E3,0:1.56:0:2.35:0:0:0:1.00,1.55E3,2.77E3,0.56:1.00,4.66,,
,0.05,8.29,801.7284,13.07 - 13.14,1,15,-,-,0,801.7284,13.10,1.2E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.72E1,0,1.00:0,13.10,,
,0.05,3.38,380.8268,10.00 - 12.25,1,74.9,-,-,0,-,-,0,380.8274,12.13,4.25E2,380.8273,10.58,7.95E1,-,-,0,-,-,0,-,-,0,380.8258,10.04,9.51E1,0:0:4.46:0.84:0:0:0:1.00,7.2E1,9.51E1,0.76:1.00,10.92,,
,0.05,3.21,735.7481,21.27 - 21.38,1,129.7,-,-,0,-,-,0,-,-,0,-,-,0,735.7464,21.32,3.55E2,-,-,0,735.7488,21.32,5.34E2,735.7490,21.31,1.48E2,0:0:0:0:2.40:0:3.61:1.00,1.27E2,1.48E2,0.86:1.00,21.32,,
,0.05,8.29,468.8008,18.36 - 18.44,3,22.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,468.8008,18.36,1.76E2,-,-,0,0:0:0:0:0:0:1.00:0,2.52E1,0,1.00:0,18.36,,
,0.05,8.29,471.8942,0.62 - 0.79,1,155.4,-,-,0,471.8942,0.72,1.24E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.78E2,0,1.00:0,0.72,,
,0.05,8.29,688.1615,0.17 - 0.23,2,4.2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,688.1615,0.17,3.36E4,0:0:0:0:0:0:0:1.00,0,3.36E4,0:1.00,0.17,,
,0.05,8.29,1240.5566,21.30 - 21.38,2,35.7,1240.5566,21.34,2.86E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0,4.08E1,0,1.00:0,21.34,,
,0.05,8.29,376.8960,1.10 - 6.50,1,1.7E4,-,-,0,-,-,0,-,-,0,-,-,0,376.8960,1.50,1.34E5,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,1.91E4,0,1.00:0,1.50,,
,0.05,8.25,819.6979,9.59 - 10.08,1,51.1,819.6991,10.02,1.74E2,-,-,0,-,-,0,-,-,0,819.6967,9.61,2.35E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:1.35:0:0:0,5.84E1,0,1.00:0,9.82,,
,0.05,8.25,414.8035,5.55 - 5.61,1,4.8,-,-,0,414.8035,5.61,3.81E1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,5.44E0,0,1.00:0,5.61,,
,0.05,8.25,701.7120,12.90 - 12.99,1,14.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,701.7120,12.92,1.16E2,0:0:0:0:0:0:0:1.00,0,1.16E2,0:1.00,12.92,,
,0.05,8.25,254.1474,0.30 - 0.51,1,1.2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,254.1474,0.39,9.47E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.35E3,0,1.00:0,0.39,,
,0.05,8.25,634.0031,2.97 - 3.13,1,99.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,634.0031,3.08,7.97E2,0:0:0:0:0:0:0:1.00,0,7.97E2,0:1.00,3.08,,
,0.05,8.25,791.7253,17.60 - 17.65,1,17.3,-,-,0,-,-,0,-,-,0,-,-,0,791.7253,17.63,1.38E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,1.97E1,0,1.00:0,17.63,,
,0.05,8.25,338.8471,3.07 - 8.75,1,1.4E4,-,-,0,338.8474,4.44,3.81E2,338.8471,3.11,5.04E2,-,-,0,338.8468,3.75,1.15E5,-,-,0,-,-,0,-,-,0,0:1.00:1.32:0:302.26:0:0:0,1.66E4,0,1.00:0,3.77,,
,0.05,8.25,802.6396,11.86 - 11.93,1,19.1,-,-,0,-,-,0,-,-,0,-,-,0,802.6396,11.88,1.53E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,2.18E1,0,1.00:0,11.88,,
,0.05,8.25,495.3134,4.01 - 4.08,1,19,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,495.3134,4.00,1.52E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,2.17E1,0,1.00:0,4.00,,
,0.05,8.25,577.0029,1.93 - 2.26,1,132.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,577.0029,2.17,1.06E3,0:0:0:0:0:0:0:1.00,0,1.06E3,0:1.00,2.17,,
,0.05,8.25,498.0942,3.55 - 3.66,1,132.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,498.0942,3.59,1.06E3,0:0:0:0:0:0:0:1.00,0,1.06E3,0:1.00,3.59,,
,0.05,8.25,858.0601,4.71 - 4.77,1,36.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,858.0601,4.74,2.92E2,0:0:0:0:0:0:0:1.00,0,2.92E2,0:1.00,4.74,,
,0.05,8.25,300.8259,0.04 - 0.16,1,220.9,300.8259,0.05,1.77E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0,2.52E2,0,1.00:0,0.05,,
,0.05,8.25,823.7247,16.04 - 16.11,1,14.5,-,-,0,823.7247,16.07,1.16E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.65E1,0,1.00:0,16.07,,
,0.05,8.25,367.8605,9.43 - 9.73,1,160.9,-,-,0,-,-,0,367.8605,9.54,3.88E2,-,-,0,367.8605,9.70,4.92E2,367.8605,9.61,4.07E2,-,-,0,-,-,0,0:0:1.00:0:1.27:1.05:0:0,1.84E2,0,1.00:0,9.61,,
,0.05,8.25,545.6567,0.14 - 0.23,1,4.4E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,545.6567,0.19,3.48E4,0:0:0:0:0:0:0:1.00,0,3.48E4,0:1.00,0.19,,
,0.05,8.25,430.1800,4.23 - 4.38,1,96.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,430.1800,4.34,7.72E2,0:0:0:0:0:0:0:1.00,0,7.72E2,0:1.00,4.34,,
,0.05,8.25,1507.4360,21.34 - 21.40,1,27.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1507.4360,21.35,2.18E2,0:0:0:0:0:0:0:1.00,0,2.18E2,0:1.00,21.35,,
,0.05,8.25,835.7046,15.50 - 15.97,1,136.7,-,-,0,835.7062,15.90,1.96E2,-,-,0,-,-,0,-,-,0,835.6991,15.60,2.55E2,835.7086,15.91,6.42E2,-,-,0,0:1.00:0:0:0:1.30:3.27:0,1.56E2,0,1.00:0,15.80,,
,0.05,8.25,513.3234,3.22 - 3.69,1,162.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,513.3234,3.39,1.3E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.85E2,0,1.00:0,3.39,,
,0.05,8.25,1021.5558,21.49 - 21.54,1,12.6,-,-,0,1021.5558,21.49,1.01E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.44E1,0,1.00:0,21.49,,
,0.05,8.25,538.8120,18.14 - 18.58,1,196.2,-,-,0,-,-,0,538.8120,18.46,7.68E2,538.8120,18.33,2.84E2,-,-,0,538.8121,18.33,5.18E2,-,-,0,-,-,0,0:0:1.00:0.37:0:0.67:0:0,2.24E2,0,1.00:0,18.37,,
,0.05,8.25,417.8294,17.56 - 20.06,1,1.4E3,-,-,0,417.8300,18.38,1.68E3,417.8289,18.02,1.72E3,417.8289,17.66,-,-,-,0,417.8299,18.43,6.61E3,-,-,0,-,-,0,0:1.00:1.02:-:0:3.94:0:0,1.67E3,0,1.00:0,18.12,,
,0.05,8.25,933.0531,7.53 - 7.63,1,37,-,-,0,-,-,0,-,-,0,933.0531,7.63,2.96E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,4.23E1,0,1.00:0,7.63,,
,0.05,8.25,566.7560,19.43 - 21.22,7,688.6,-,-,0,566.7552,20.06,1.53E3,-,-,0,-,-,0,-,-,0,566.7560,19.98,3.51E3,566.7568,19.76,4.62E2,-,-,0,0:1.00:0:0:0:2.29:0.30:0,7.87E2,0,1.00:0,19.93,,
,0.05,8.25,491.7854,14.79 - 16.05,1,818.1,-,-,0,-,-,0,-,-,0,491.7852,15.11,3.1E3,-,-,0,491.7858,15.49,1.23E3,491.7852,15.47,2.21E3,-,-,0,0:0:0:1.00:0:0.40:0.71:0,9.35E2,0,1.00:0,15.36,,
,0.05,8.25,1028.5950,21.41 - 21.48,2,10.9,-,-,0,1028.5950,21.45,8.71E1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.24E1,0,1.00:0,21.45,,
,0.05,8.25,542.0833,3.58 - 3.76,1,118.9,-,-,0,542.0833,3.71,9.51E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.36E2,0,1.00:0,3.71,,
,0.05,8.25,1027.2562,0.14 - 0.25,1,7.9E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1027.2562,0.19,6.31E5,0:0:0:0:0:0:0:1.00,0,6.31E5,0:1.00,0.19,,
,0.05,8.25,839.2127,3.83 - 3.97,1,107.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,839.2127,3.86,8.62E2,-,-,0,0:0:0:0:0:0:1.00:0,1.23E2,0,1.00:0,3.86,,
,0.05,8.25,672.2715,2.99 - 3.09,1,183.3,-,-,0,672.2718,3.01,9.42E2,-,-,0,672.2712,3.01,5.24E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.56:0:0:0:0,2.09E2,0,1.00:0,3.01,,
,0.05,5.97,824.6238,10.33 - 11.41,1,42.1,-,-,0,-,-,0,824.6176,10.39,1.82E2,-,-,0,-,-,0,-,-,0,-,-,0,824.6301,11.37,1.54E2,0:0:1.18:0:0:0:0:1.00,2.6E1,1.54E2,0.17:1.00,10.88,,
,0.05,8.25,420.8568,13.07 - 13.18,1,7.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,420.8568,13.12,6.22E1,0:0:0:0:0:0:0:1.00,0,6.22E1,0:1.00,13.12,,
,0.05,8.25,696.9976,5.13 - 5.19,1,19.9,-,-,0,696.9976,5.15,1.59E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,2.27E1,0,1.00:0,5.15,,
,0.05,8.25,549.9369,2.16 - 2.45,1,142.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,549.9369,2.37,1.14E3,0:0:0:0:0:0:0:1.00,0,1.14E3,0:1.00,2.37,,
,0.05,8.25,795.7335,20.12 - 20.21,1,38.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,795.7335,20.20,3.04E2,-,-,0,0:0:0:0:0:0:1.00:0,4.35E1,0,1.00:0,20.20,,
,0.05,8.25,635.0759,3.34 - 3.73,3,288.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,635.0759,3.49,2.31E3,0:0:0:0:0:0:0:1.00,0,2.31E3,0:1.00,3.49,,
,0.05,8.25,692.1218,0.16 - 0.23,1,4.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,692.1218,0.17,3.8E4,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,5.43E3,0,1.00:0,0.17,,
,0.05,8.25,515.3020,3.81 - 3.97,1,153.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,515.3020,3.88,1.23E3,0:0:0:0:0:0:0:1.00,0,1.23E3,0:1.00,3.88,,
,0.05,8.25,352.8953,0.92 - 3.67,1,1.7E3,352.8953,1.14,1.35E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0,1.93E3,0,1.00:0,1.14,,
,0.05,7.55,759.2531,14.87 - 15.52,1,270.7,-,-,0,759.2533,15.24,4.25E2,-,-,0,-,-,0,-,-,0,759.2526,15.29,3.72E2,-,-,0,759.2534,15.09,1.37E3,0:0.31:0:0:0:0.27:0:1.00,1.14E2,1.37E3,0.08:1.00,15.21,,
,0.05,5.13,454.8505,20.35 - 21.42,1,614.2,-,-,0,454.8497,21.23,4.95E2,-,-,0,-,-,0,-,-,0,-,-,0,454.8508,21.20,2.67E3,454.8510,21.19,1.75E3,0:0.28:0:0:0:0:1.53:1.00,4.53E2,1.75E3,0.26:1.00,21.20,,
,0.05,8.25,799.6349,21.54 - 21.59,1,20.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,799.6349,21.56,1.61E2,-,-,0,0:0:0:0:0:0:1.00:0,2.3E1,0,1.00:0,21.56,,
,0.05,8.25,472.8131,2.26 - 3.28,1,234.2,472.8124,2.44,4.4E2,-,-,0,-,-,0,-,-,0,472.8141,2.60,9.06E2,-,-,0,472.8129,2.34,5.27E2,-,-,0,1.00:0:0:0:2.06:0:1.20:0,2.68E2,0,1.00:0,2.46,,
,0.05,8.25,833.6478,4.04 - 4.66,1,104.6,833.6499,4.23,2.51E2,-,-,0,833.6432,4.60,3.24E2,-,-,0,833.6504,4.05,2.62E2,-,-,0,-,-,0,-,-,0,1.00:0:1.29:0:1.04:0:0:0,1.2E2,0,1.00:0,4.29,,
,0.05,8.21,433.0320,8.56 - 14.47,2,3.3E4,433.0317,9.47,4.47E4,-,-,0,-,-,0,-,-,0,-,-,0,433.0321,9.18,6.91E4,433.0321,8.77,1.52E5,-,-,0,1.00:0:0:0:0:1.55:3.40:0,3.8E4,0,1.00:0,9.14,,
,0.05,8.21,1152.5386,21.36 - 21.42,1,38.1,-,-,0,-,-,0,1152.5386,21.38,3.05E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0,4.36E1,0,1.00:0,21.38,,
,0.05,8.21,608.7009,13.86 - 14.35,1,94.1,608.7006,14.32,2.53E2,-,-,0,-,-,0,-,-,0,-,-,0,608.7014,14.04,2.11E2,608.7006,13.90,2.89E2,-,-,0,1.00:0:0:0:0:0.83:1.14:0,1.08E2,0,1.00:0,14.09,,
,0.05,8.21,626.5498,19.80 - 20.28,1,174.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,626.5498,20.04,1.39E3,-,-,0,0:0:0:0:0:0:1.00:0,1.99E2,0,1.00:0,20.04,,
