Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN8_A00_neg m/z,LCN8_A00_neg RT mean,LCN8_A00_neg Normalized Area,LCN8_A06_neg m/z,LCN8_A06_neg RT mean,LCN8_A06_neg Normalized Area,LCN8_A07_neg m/z,LCN8_A07_neg RT mean,LCN8_A07_neg Normalized Area,LCN8_A08_neg m/z,LCN8_A08_neg RT mean,LCN8_A08_neg Normalized Area,LCN8_A12_neg m/z,LCN8_A12_neg RT mean,LCN8_A12_neg Normalized Area,LCN8_B01_neg m/z,LCN8_B01_neg RT mean,LCN8_B01_neg Normalized Area,LCN8_A09_neg m/z,LCN8_A09_neg RT mean,LCN8_A09_neg Normalized Area,LCN8_A10_neg m/z,LCN8_A10_neg RT mean,LCN8_A10_neg Normalized Area,LCN8_A11_neg m/z,LCN8_A11_neg RT mean,LCN8_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.05,8.56,265.1208,0.27 - 0.34,1,174.1,-,-,0,265.1208,0.27,1.57E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.61E2,0,1.00:0,0.27,,
,0.05,8.56,1574.6470,20.15 - 20.23,1,90.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1574.6470,20.20,8.19E2,0:0:0:0:0:0:0:0:1.00,0,2.73E2,0:1.00,20.20,,
,0.05,4.27,794.7377,12.05 - 14.21,1,144.3,-,-,0,-,-,0,794.7339,14.18,2.31E2,794.7316,12.64,3.76E2,-,-,0,-,-,0,794.7411,12.67,2.99E2,794.7440,12.08,3.93E2,-,-,0,0:0:0.61:1.00:0:0:0.80:1.05:0,1.01E2,2.31E2,1.00:2.28,12.89,,
,0.05,3.14,671.7987,12.02 - 13.84,1,235.4,-,-,0,671.8037,13.72,7.41E2,-,-,0,671.8026,12.71,6.25E2,-,-,0,-,-,0,671.7891,12.79,3.59E2,671.7996,12.09,3.94E2,-,-,0,0:1.19:0:1.00:0:0:0.57:0.63:0,2.28E2,2.51E2,1.00:1.10,12.83,,
,0.05,5.36,682.8221,14.13 - 15.56,1,315.8,-,-,0,682.8220,15.30,9.36E2,-,-,0,-,-,0,-,-,0,-,-,0,682.8219,14.30,8.92E2,682.8262,14.69,3.27E2,682.8185,14.90,6.86E2,0:1.00:0:0:0:0:0.95:0.35:0.73,1.56E2,6.35E2,1.00:4.07,14.80,,
,0.05,8.65,646.2209,0.77 - 0.93,2,100.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,646.2209,0.84,9.07E2,0:0:0:0:0:0:0:0:1.00,0,3.02E2,0:1.00,0.84,,
,0.05,8.65,699.6439,1.30 - 1.52,1,413.8,-,-,0,699.6439,1.37,3.72E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,6.21E2,0,1.00:0,1.37,,
,0.05,8.65,858.7644,18.66 - 20.12,1,4.5E3,-,-,0,-,-,0,858.7635,18.75,9.29E3,858.7647,19.08,1.74E4,-,-,0,858.7651,19.12,1.4E4,-,-,0,-,-,0,-,-,0,0:0:0.53:1.00:0:0.80:0:0:0,6.77E3,0,1.00:0,18.98,,
,0.05,3.86,654.8100,6.43 - 8.18,1,202.8,-,-,0,-,-,0,654.8098,6.46,2.8E2,654.8112,6.82,3.64E2,654.8062,8.00,7.79E2,-,-,0,654.8130,7.43,4.01E2,-,-,0,-,-,0,0:0:0.77:1.00:2.14:0:1.10:0:0,2.37E2,1.34E2,1.00:0.56,7.18,,
,0.05,8.60,724.6490,14.54 - 14.68,1,66.2,-,-,0,-,-,0,-,-,0,-,-,0,724.6490,14.59,5.95E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,9.92E1,0,1.00:0,14.59,,
,0.05,8.60,260.1049,0.27 - 0.32,1,54.6,-,-,0,260.1049,0.27,4.92E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,8.2E1,0,1.00:0,0.27,,
,0.05,8.60,970.2953,0.11 - 0.18,1,1.5E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,970.2953,0.16,1.33E5,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.45E4,0:1.00,0.16,,
,0.05,8.60,681.8489,15.61 - 15.68,1,24.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,681.8489,15.67,2.19E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.31E1,0:1.00,15.67,,
,0.05,4.29,721.8648,20.13 - 20.26,1,613.1,-,-,0,721.8647,20.17,2.72E3,-,-,0,-,-,0,-,-,0,721.8647,20.20,1.82E3,-,-,0,-,-,0,721.8650,20.20,9.85E2,0:1.00:0:0:0:0.67:0:0:0.36,7.55E2,3.28E2,1.00:0.43,20.19,,
,0.05,3.24,273.8822,4.88 - 7.41,1,101.5,-,-,0,273.8820,7.38,4.67E2,273.8829,4.92,1.06E2,-,-,0,-,-,0,-,-,0,-,-,0,273.8816,5.57,3.4E2,-,-,0,0:1.00:0.23:0:0:0:0:0.73:0,9.56E1,1.13E2,1.00:1.19,5.96,,
,0.05,4.97,496.8350,12.55 - 14.54,1,1.5E3,496.8353,14.06,1.52E3,496.8341,12.80,1E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,496.8353,14.31,5.8E2,496.8353,13.85,1.15E3,1.00:6.61:0:0:0:0:0:0.38:0.76,1.92E3,5.78E2,1.00:0.30,13.76,,
,0.05,7.33,413.7925,2.22 - 3.02,1,64.4,-,-,0,-,-,0,-,-,0,-,-,0,413.7928,2.81,9.81E1,-,-,0,-,-,0,413.7930,2.23,2.83E2,413.7917,3.00,1.98E2,0:0:0:0:1.00:0:0:2.89:2.02,1.63E1,1.6E2,1.00:9.81,2.68,,
,0.05,8.60,845.8069,19.93 - 20.27,2,1.6E3,-,-,0,845.8067,20.13,6.16E3,-,-,0,845.8066,20.14,5.16E3,-,-,0,845.8073,20.14,3.06E3,-,-,0,-,-,0,-,-,0,0:1.19:0:1.00:0:0.59:0:0:0,2.4E3,0,1.00:0,20.13,,
,0.05,8.60,718.7702,15.12 - 15.19,1,20.5,-,-,0,-,-,0,-,-,0,718.7702,15.13,1.85E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,3.08E1,0,1.00:0,15.13,,
,0.05,8.60,348.8597,3.24 - 3.30,1,185.7,-,-,0,348.8597,3.27,1.67E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.79E2,0,1.00:0,3.27,,
,0.05,8.44,476.7779,0.66 - 1.82,1,383.8,-,-,0,-,-,0,-,-,0,476.7771,1.78,4.04E2,-,-,0,-,-,0,-,-,0,476.7789,1.47,2.54E3,476.7776,1.14,5.1E2,0:0:0:1.00:0:0:0:6.28:1.26,6.74E1,1.02E3,1.00:15.09,1.46,,
,0.05,8.60,718.7983,5.12 - 5.20,1,19.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,718.7983,5.17,1.74E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,5.78E1,0:1.00,5.17,,
,0.05,8.60,794.7908,9.44 - 9.54,2,63,-,-,0,794.7908,9.50,5.67E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,9.45E1,0,1.00:0,9.50,,
,0.05,8.60,1027.2559,9.66 - 9.74,1,78.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1027.2559,9.69,7.02E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.34E2,0:1.00,9.69,,
,0.05,8.60,1221.7900,15.79 - 15.95,1,71.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1221.7900,15.92,6.43E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,2.14E2,0:1.00,15.92,,
,0.05,8.60,441.0064,0.22 - 0.42,6,3.7E3,-,-,0,-,-,0,441.0068,0.33,2.02E4,-,-,0,441.0059,0.35,1.26E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.62:0:0:0:0,5.48E3,0,1.00:0,0.34,,
,0.05,8.60,1132.4224,20.14 - 20.22,1,77.6,-,-,0,-,-,0,-,-,0,-,-,0,1132.4224,20.19,6.99E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.16E2,0,1.00:0,20.19,,
,0.05,8.56,616.4916,3.30 - 3.51,1,59.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,616.4916,3.37,5.33E2,0:0:0:0:0:0:0:0:1.00,0,1.78E2,0:1.00,3.37,,
,0.05,3.96,440.8204,2.98 - 3.44,3,32.2,-,-,0,-,-,0,-,-,0,-,-,0,440.8209,3.01,1.49E2,-,-,0,-,-,0,-,-,0,440.8200,3.41,1.41E2,0:0:0:0:1.00:0:0:0:0.95,2.48E1,4.69E1,1.00:1.89,3.21,,
,0.05,8.56,360.8592,10.98 - 13.90,1,1.2E3,360.8597,12.90,4.06E2,360.8591,11.92,1.54E3,360.8591,12.37,7.96E3,-,-,0,360.8589,12.45,9.67E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:3.79:19.61:0:2.38:0:0:0:0,1.81E3,0,1.00:0,12.41,,
,0.05,3.30,470.2818,2.04 - 3.15,2,329.6,470.2790,3.09,1.16E3,-,-,0,-,-,0,-,-,0,470.2873,2.13,9.48E2,-,-,0,470.2791,3.11,8.54E2,-,-,0,-,-,0,1.00:0:0:0:0.82:0:0.73:0:0,3.52E2,2.85E2,1.00:0.81,2.78,,
,0.05,8.52,1296.0430,20.17 - 20.26,1,65.2,-,-,0,-,-,0,1296.0430,20.23,5.87E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,9.78E1,0,1.00:0,20.23,,
,0.05,8.52,742.6520,14.54 - 14.68,1,90.1,-,-,0,-,-,0,-,-,0,-,-,0,742.6520,14.62,8.11E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.35E2,0,1.00:0,14.62,,
,0.05,8.52,1027.8111,20.16 - 20.22,2,179.8,-,-,0,1027.8094,20.20,8.33E2,-,-,0,1027.8127,20.19,7.85E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.06:0:1.00:0:0:0:0:0,2.7E2,0,1.00:0,20.19,,
,0.05,3.39,748.7997,19.23 - 20.26,1,371.8,748.7992,19.24,3.53E2,748.8041,19.64,2.04E2,-,-,0,-,-,0,748.7973,20.08,1.87E3,-,-,0,-,-,0,748.7981,19.87,9.2E2,-,-,0,1.00:0.58:0:0:5.30:0:0:2.61:0,4.04E2,3.07E2,1.00:0.76,19.71,,
,0.05,8.56,736.0162,3.40 - 3.64,1,280.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,736.0162,3.52,2.52E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,8.4E2,0:1.00,3.52,,
,0.05,3.49,624.9567,2.43 - 2.61,1,263.9,624.9562,2.51,1.75E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,624.9573,2.52,6.24E2,-,-,0,1.00:0:0:0:0:0:0:0.36:0,2.92E2,2.08E2,1.00:0.71,2.51,,
,0.05,8.56,563.4148,8.50 - 8.66,1,160.4,-,-,0,563.4148,8.54,1.44E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.41E2,0,1.00:0,8.54,,
,0.05,8.56,557.3280,7.16 - 7.51,1,182.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,557.3280,7.38,1.64E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,5.47E2,0:1.00,7.38,,
,0.05,8.56,494.8381,17.83 - 17.93,2,25,-,-,0,-,-,0,-,-,0,-,-,0,494.8381,17.89,2.25E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,3.75E1,0,1.00:0,17.89,,
,0.05,3.31,644.7798,8.04 - 9.41,2,277.2,-,-,0,-,-,0,644.7831,9.39,3.04E2,644.7849,8.18,1.03E3,644.7721,8.88,4.42E2,-,-,0,-,-,0,-,-,0,644.7791,9.00,7.17E2,0:0:0.29:1.00:0.43:0:0:0:0.70,2.96E2,2.39E2,1.00:0.81,8.86,,
,0.05,8.56,688.7855,19.01 - 19.06,2,10.4,688.7855,18.99,9.39E1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.56E1,0,1.00:0,18.99,,
,0.05,8.56,670.2968,16.17 - 16.23,2,16.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,670.2968,16.20,1.45E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.85E1,0:1.00,16.20,,
,0.05,8.56,376.7910,5.62 - 5.72,1,16.2,376.7910,5.68,1.46E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.43E1,0,1.00:0,5.68,,
,0.05,8.56,1179.4010,20.12 - 20.22,1,99.1,-,-,0,-,-,0,-,-,0,1179.4010,20.17,8.92E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.49E2,0,1.00:0,20.17,,
,0.05,8.56,284.2233,0.29 - 0.67,1,973.4,284.2233,0.61,8.76E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.46E3,0,1.00:0,0.61,,
,0.05,8.56,310.1756,8.92 - 9.00,1,8.1,-,-,0,-,-,0,-,-,0,-,-,0,310.1756,8.97,7.29E1,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.22E1,0,1.00:0,8.97,,
,0.05,8.56,672.8307,11.28 - 11.33,1,20.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,672.8307,11.30,1.81E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,6.03E1,0:1.00,11.30,,
,0.05,8.56,718.7065,21.85 - 21.94,1,27.8,-,-,0,718.7065,21.89,2.5E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.17E1,0,1.00:0,21.89,,
,0.05,8.56,509.9369,1.32 - 1.50,1,187.3,-,-,0,-,-,0,-,-,0,-,-,0,509.9376,1.43,4.7E2,509.9363,1.42,1.22E3,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:2.59:0:0:0,2.81E2,0,1.00:0,1.43,,
,0.05,8.56,262.8564,2.12 - 2.23,1,29.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,262.8564,2.16,2.65E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,8.85E1,0:1.00,2.16,,
,0.05,8.56,524.2015,4.80 - 4.97,1,122.1,-,-,0,524.2015,4.84,1.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.83E2,0,1.00:0,4.84,,
,0.05,8.56,785.7722,5.98 - 6.04,1,32.5,-,-,0,785.7722,6.00,2.93E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.88E1,0,1.00:0,6.00,,
,0.05,8.56,356.8322,0.27 - 0.32,3,108.5,-,-,0,356.8322,0.29,9.76E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.63E2,0,1.00:0,0.29,,
,0.05,3.71,542.7689,7.64 - 8.44,1,56.2,542.7701,8.42,1.26E2,-,-,0,-,-,0,542.7672,7.66,1.53E2,-,-,0,-,-,0,-,-,0,542.7695,8.22,2.26E2,-,-,0,0.83:0:0:1.00:0:0:0:1.48:0,4.65E1,7.55E1,1.00:1.62,8.10,,
,0.05,5.74,679.5034,0.11 - 0.20,1,4.1E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,679.5033,0.16,1.07E5,679.5034,0.16,2.64E5,-,-,0,-,-,0,0:0:0:0:0:1.00:2.47:0:0,1.78E4,8.8E4,1.00:4.93,0.16,,
,0.05,8.56,415.3189,0.61 - 1.11,1,851.4,-,-,0,-,-,0,-,-,0,-,-,0,415.3189,1.03,7.66E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.28E3,0,1.00:0,1.03,,
,0.05,8.56,410.8666,9.94 - 10.12,1,68.6,-,-,0,410.8666,10.03,6.17E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.03E2,0,1.00:0,10.03,,
,0.05,4.27,478.8736,6.83 - 8.08,1,86.1,-,-,0,478.8724,8.03,3.55E2,-,-,0,478.8748,7.57,2.81E2,-,-,0,-,-,0,-,-,0,-,-,0,478.8735,6.86,1.39E2,0:1.26:0:1.00:0:0:0:0:0.50,1.06E2,4.65E1,1.00:0.44,7.49,,
,0.05,8.56,366.9066,0.27 - 0.39,7,962.6,-,-,0,366.9066,0.33,8.66E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.44E3,0,1.00:0,0.33,,
,0.05,8.56,307.8566,21.01 - 21.11,1,102.1,-,-,0,-,-,0,307.8566,21.04,9.19E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.53E2,0,1.00:0,21.04,,
,0.05,8.56,698.5266,2.08 - 2.17,1,121.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,698.5266,2.14,1.09E3,0:0:0:0:0:0:0:0:1.00,0,3.64E2,0:1.00,2.14,,
,0.05,3.88,779.8275,8.31 - 9.42,1,147.9,-,-,0,779.8252,9.12,4.7E2,-,-,0,779.8274,9.15,3.56E2,779.8271,9.37,2.17E2,-,-,0,779.8302,8.36,2.89E2,-,-,0,-,-,0,0:1.32:0:1.00:0.61:0:0.81:0:0,1.74E2,9.62E1,1.00:0.55,9.00,,
,0.05,3.19,738.8032,17.10 - 18.87,1,112.1,-,-,0,-,-,0,738.8015,18.19,2.03E2,738.7980,17.11,2.54E2,738.8030,17.75,2.45E2,-,-,0,738.8102,18.82,3.07E2,-,-,0,-,-,0,0:0:0.80:1.00:0.96:0:1.21:0:0,1.17E2,1.02E2,1.00:0.88,17.97,,
,0.05,8.56,674.7311,7.11 - 7.17,2,17.1,-,-,0,-,-,0,-,-,0,-,-,0,674.7311,7.15,1.54E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,2.56E1,0,1.00:0,7.15,,
,0.05,8.51,794.7923,16.25 - 16.33,2,69.1,-,-,0,794.7923,16.27,6.22E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.04E2,0,1.00:0,16.27,,
,0.05,8.51,1201.4208,20.17 - 20.23,1,52,-,-,0,-,-,0,-,-,0,1201.4208,20.21,4.68E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.81E1,0,1.00:0,20.21,,
,0.05,8.51,1354.7383,20.13 - 20.21,1,331.2,-,-,0,1354.7383,20.19,2.98E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.97E2,0,1.00:0,20.19,,
,0.05,8.51,414.3232,1.26 - 2.00,1,1.2E3,-,-,0,-,-,0,-,-,0,-,-,0,414.3232,1.63,1.09E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.81E3,0,1.00:0,1.63,,
,0.05,3.73,651.8732,19.26 - 20.29,1,2.8E3,651.8752,19.40,2.82E3,-,-,0,651.8724,20.17,1.1E4,-,-,0,-,-,0,-,-,0,651.8723,20.16,1.07E4,651.8730,19.80,6.59E2,-,-,0,1.00:0:3.88:0:0:0:3.80:0.23:0,2.3E3,3.79E3,1.00:1.65,19.88,,
,0.05,8.50,972.2552,13.93 - 13.99,2,23.2,972.2552,13.96,2.09E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.48E1,0,1.00:0,13.96,,
,0.05,5.31,593.7847,5.57 - 7.26,1,97.3,593.7877,6.93,2.9E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,593.7809,5.60,1.69E2,593.7817,7.23,1.39E2,593.7885,6.98,2.77E2,1.00:0:0:0:0:0:0.58:0.48:0.96,4.83E1,1.95E2,1.00:4.04,6.69,,
,0.05,3.08,734.7641,6.14 - 7.81,1,58.9,734.7605,7.63,1.59E2,734.7617,7.77,1.88E2,-,-,0,-,-,0,-,-,0,-,-,0,734.7701,6.18,1.83E2,-,-,0,-,-,0,1.00:1.19:0:0:0:0:1.15:0:0,5.78E1,6.1E1,1.00:1.06,7.19,,
,0.05,7.47,585.3655,2.42 - 4.02,3,1.1E3,-,-,0,-,-,0,-,-,0,-,-,0,585.3656,3.11,1.61E3,-,-,0,585.3661,2.55,4.48E3,585.3653,2.97,3.86E3,585.3651,3.96,2.95E2,0:0:0:0:1.00:0:2.79:2.40:0.18,2.68E2,2.88E3,1.00:10.73,3.15,,
,0.05,3.01,273.8895,6.66 - 8.63,1,946.7,-,-,0,273.8895,8.18,5.09E3,273.8895,8.39,6.02E2,-,-,0,-,-,0,-,-,0,273.8895,6.71,2.44E3,-,-,0,273.8894,7.04,3.89E2,0:1.00:0.12:0:0:0:0.48:0:0.08,9.48E2,9.44E2,1.00:1.00,7.58,,
,0.05,8.50,394.8678,20.84 - 20.89,1,9.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,394.8678,20.86,8.24E1,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.75E1,0:1.00,20.86,,
,0.05,3.77,634.8265,5.79 - 7.76,1,101.7,-,-,0,-,-,0,634.8252,6.03,2.19E2,634.8279,7.75,2.74E2,634.8250,6.69,2.13E2,-,-,0,-,-,0,634.8279,5.81,2.09E2,-,-,0,0:0:0.80:1.00:0.78:0:0:0.76:0,1.18E2,6.98E1,1.00:0.59,6.57,,
,0.05,6.88,634.7521,9.75 - 11.03,1,207.2,-,-,0,-,-,0,634.7567,10.94,3.63E2,-,-,0,-,-,0,-,-,0,634.7540,10.18,3.08E2,634.7483,10.52,9.04E2,634.7493,9.80,2.89E2,0:0:1.00:0:0:0:0.85:2.49:0.80,6.05E1,5E2,1.00:8.27,10.36,,
,0.05,3.72,690.7711,9.35 - 10.62,1,227.6,690.7729,10.57,3.38E2,690.7678,9.41,5.8E2,-,-,0,-,-,0,690.7739,9.76,6.5E2,-,-,0,-,-,0,-,-,0,690.7700,10.25,4.8E2,1.00:1.72:0:0:1.92:0:0:0:1.42,2.61E2,1.6E2,1.00:0.61,10.00,,
,0.05,8.52,397.8342,3.62 - 3.90,3,209.3,-,-,0,397.8342,3.72,1.88E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.14E2,0,1.00:0,3.72,,
,0.05,8.52,484.3265,1.79 - 1.95,1,135.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,484.3265,1.90,1.22E3,0:0:0:0:0:0:0:0:1.00,0,4.07E2,0:1.00,1.90,,
,0.05,4.79,679.8210,5.93 - 7.73,1,134.7,-,-,0,-,-,0,-,-,0,679.8186,7.66,4.79E2,-,-,0,-,-,0,679.8270,5.96,2.94E2,679.8166,6.53,2.47E2,679.8219,6.61,1.93E2,0:0:0:1.00:0:0:0.61:0.52:0.40,7.98E1,2.45E2,1.00:3.06,6.69,,
,0.05,8.57,407.8264,2.82 - 2.87,1,26.8,-,-,0,407.8264,2.86,2.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.02E1,0,1.00:0,2.86,,
,0.05,4.76,662.8346,2.26 - 2.93,1,144.6,662.8347,2.32,3.36E2,-,-,0,-,-,0,662.8365,2.86,7.79E2,-,-,0,-,-,0,-,-,0,662.8326,2.38,1.86E2,-,-,0,0.43:0:0:1.00:0:0:0:0.24:0,1.86E2,6.21E1,1.00:0.33,2.52,,
,0.05,8.57,542.4434,4.45 - 4.62,1,134.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,542.4434,4.50,1.21E3,0:0:0:0:0:0:0:0:1.00,0,4.04E2,0:1.00,4.50,,
,0.05,8.57,610.5066,3.73 - 3.86,3,127.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,610.5066,3.76,1.15E3,0:0:0:0:0:0:0:0:1.00,0,3.83E2,0:1.00,3.76,,
,0.05,8.57,800.7371,13.41 - 13.48,1,44.2,-,-,0,-,-,0,-,-,0,-,-,0,800.7371,13.45,3.98E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,6.63E1,0,1.00:0,13.45,,
,0.05,8.57,546.7655,0.14 - 0.20,1,4.9E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,546.7655,0.16,4.42E4,0:0:0:0:0:0:0:0:1.00,0,1.47E4,0:1.00,0.16,,
,0.05,4.64,584.8163,2.78 - 4.10,1,302.2,-,-,0,584.8108,4.06,3.15E2,-,-,0,584.8207,3.48,1.55E3,584.8163,3.16,4.44E2,-,-,0,584.8173,2.85,4.11E2,-,-,0,-,-,0,0:0.20:0:1.00:0.29:0:0.27:0:0,3.85E2,1.37E2,1.00:0.36,3.39,,
,0.05,8.57,654.3520,17.49 - 17.55,2,16.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,654.3520,17.49,1.47E2,0:0:0:0:0:0:0:0:1.00,0,4.9E1,0:1.00,17.49,,
,0.05,8.57,413.8818,5.44 - 5.62,1,88.5,-,-,0,413.8818,5.53,7.96E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.33E2,0,1.00:0,5.53,,
,0.05,3.61,808.8361,8.87 - 10.41,1,221.8,-,-,0,808.8326,9.25,3.42E2,-,-,0,808.8368,10.33,8.94E2,808.8402,8.93,2.67E2,-,-,0,-,-,0,-,-,0,808.8348,9.64,4.94E2,0:0.38:0:1.00:0.30:0:0:0:0.55,2.5E2,1.65E2,1.00:0.66,9.54,,
