Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD1_E00_neg m/z,STARD1_E00_neg RT mean,STARD1_E00_neg Normalized Area,STARD1_E04_neg m/z,STARD1_E04_neg RT mean,STARD1_E04_neg Normalized Area,STARD1_E05_neg m/z,STARD1_E05_neg RT mean,STARD1_E05_neg Normalized Area,STARD1_E08_neg m/z,STARD1_E08_neg RT mean,STARD1_E08_neg Normalized Area,STARD1_E09_neg m/z,STARD1_E09_neg RT mean,STARD1_E09_neg Normalized Area,STARD1_E10_neg m/z,STARD1_E10_neg RT mean,STARD1_E10_neg Normalized Area,STARD1_E11_neg m/z,STARD1_E11_neg RT mean,STARD1_E11_neg Normalized Area,STARD1_E12_neg m/z,STARD1_E12_neg RT mean,STARD1_E12_neg Normalized Area,STARD1_E06_neg m/z,STARD1_E06_neg RT mean,STARD1_E06_neg Normalized Area,STARD1_E07_neg m/z,STARD1_E07_neg RT mean,STARD1_E07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.03,8.30,736.3425,20.01 - 20.23,2,464.6,-,-,0,-,-,0,736.3428,20.12,1.62E3,736.3433,20.13,1.06E3,-,-,0,-,-,0,736.3416,20.16,1.96E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0.66:0:0:1.21:0:0:0,5.81E2,0,1.00:0,20.14,,
,0.03,3.41,620.8552,5.61 - 8.80,1,2.8E3,620.8524,7.74,4.92E3,-,-,0,-,-,0,-,-,0,-,-,0,620.8569,7.78,1.84E4,-,-,0,-,-,0,-,-,0,620.8563,7.53,4.33E3,1.00:0:0:0:0:3.74:0:0:0:0.88,2.92E3,2.16E3,1.00:0.74,7.68,,
,0.03,3.60,945.3180,19.92 - 20.22,2,784.5,-,-,0,-,-,0,-,-,0,945.3163,20.16,2.16E3,-,-,0,-,-,0,-,-,0,945.3181,20.15,3.51E3,-,-,0,945.3195,20.18,2.18E3,0:0:0:1.00:0:0:0:1.63:0:1.01,7.08E2,1.09E3,1.00:1.54,20.16,,
,0.03,8.26,1295.7266,20.10 - 20.24,1,1.1E3,-,-,0,1295.7246,20.19,3.65E3,1295.7241,20.18,2.33E3,1295.7311,20.18,5.13E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.64:1.40:0:0:0:0:0:0,1.39E3,0,1.00:0,20.18,,
,0.03,8.30,392.2407,0.18 - 0.24,1,492.8,-,-,0,-,-,0,-,-,0,392.2407,0.18,4.93E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,6.16E2,0,1.00:0,0.18,,
,0.03,3.12,817.3276,20.07 - 20.21,2,1.8E3,-,-,0,-,-,0,817.3245,20.14,5.99E3,-,-,0,-,-,0,-,-,0,-,-,0,817.3281,20.12,7.78E3,-,-,0,817.3303,20.13,3.76E3,0:0:1.00:0:0:0:0:1.30:0:0.63,1.72E3,1.88E3,1.00:1.09,20.13,,
,0.03,8.34,783.7681,2.66 - 2.75,1,30.2,-,-,0,783.7681,2.69,3.02E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.77E1,0,1.00:0,2.69,,
,0.03,8.34,919.3108,20.08 - 20.23,1,761.2,919.3082,20.15,1.85E3,919.3098,20.15,2.89E3,-,-,0,919.3143,20.15,2.88E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0.64:1.00:0:1.00:0:0:0:0:0:0,9.51E2,0,1.00:0,20.15,,
,0.03,8.34,356.9902,0.12 - 0.28,8,990.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,356.9902,0.14,9.9E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,1.24E3,0,1.00:0,0.14,,
,0.03,8.34,588.8108,17.37 - 17.45,1,24.5,-,-,0,588.8108,17.42,2.45E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.06E1,0,1.00:0,17.42,,
,0.03,8.34,318.8329,3.14 - 8.21,1,7.3E3,-,-,0,318.8329,3.21,7.28E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,9.1E3,0,1.00:0,3.21,,
,0.03,8.34,400.9107,5.96 - 16.05,1,3.3E5,-,-,0,400.9106,10.98,1.13E6,-,-,0,-,-,0,-,-,0,400.9106,11.05,1.06E6,-,-,0,400.9108,10.96,1.14E6,-,-,0,-,-,0,0:1.00:0:0:0:0.94:0:1.01:0:0,4.16E5,0,1.00:0,11.00,,
,0.03,8.34,484.8836,18.04 - 18.74,1,490.7,-,-,0,484.8831,18.41,2.48E3,-,-,0,-,-,0,-,-,0,-,-,0,484.8835,18.23,8.14E2,484.8842,18.21,1.62E3,-,-,0,-,-,0,0:1.00:0:0:0:0:0.33:0.65:0:0,6.13E2,0,1.00:0,18.28,,
,0.03,8.34,1211.7598,8.44 - 9.12,1,429,1211.7598,8.44,4.29E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0:0,5.36E2,0,1.00:0,8.44,,
,0.03,4.73,506.7986,17.46 - 19.33,1,964.2,-,-,0,-,-,0,506.7988,17.69,2.19E3,506.7989,17.90,3.29E3,-,-,0,-,-,0,-,-,0,-,-,0,506.7981,17.64,4.17E3,-,-,0,0:0:1.00:1.50:0:0:0:0:1.90:0,6.84E2,2.08E3,1.00:3.04,17.75,,
,0.03,8.34,390.8708,21.87 - 21.92,1,82.3,390.8708,21.89,8.23E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0:0,1.03E2,0,1.00:0,21.89,,
,0.03,8.34,420.9981,0.44 - 0.66,9,519.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,420.9981,0.53,5.19E3,0:0:0:0:0:0:0:0:0:1.00,0,2.6E3,0:1.00,0.53,,
,0.03,8.34,525.7947,5.02 - 5.10,1,40.4,-,-,0,525.7947,5.07,4.04E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.06E1,0,1.00:0,5.07,,
,0.03,8.34,927.7687,15.22 - 15.48,1,132.4,-,-,0,927.7679,15.44,6.51E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,927.7695,15.28,6.72E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0:1.03:0:0,1.65E2,0,1.00:0,15.36,,
,0.03,8.34,748.4553,4.44 - 4.65,1,202,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,748.4553,4.58,2.02E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,2.52E2,0,1.00:0,4.58,,
,0.03,8.34,348.9008,6.88 - 6.98,1,17.8,-,-,0,348.9008,6.94,1.78E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.22E1,0,1.00:0,6.94,,
,0.03,8.34,514.3234,0.10 - 5.17,3,3.5E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,514.3234,0.17,3.46E5,0:0:0:0:0:0:0:0:0:1.00,0,1.73E5,0:1.00,0.17,,
,0.03,8.34,892.8020,18.86 - 20.25,1,4.7E3,892.8036,19.55,7.37E3,-,-,0,-,-,0,892.8025,20.21,1.86E4,-,-,0,892.8000,20.16,2.07E4,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:2.52:0:2.80:0:0:0:0,5.83E3,0,1.00:0,19.97,,
,0.03,4.16,508.8086,10.75 - 16.70,1,2.8E3,-,-,0,-,-,0,508.8088,11.88,1.04E4,-,-,0,508.8079,12.54,7.93E3,-,-,0,-,-,0,-,-,0,-,-,0,508.8090,13.91,1E4,0:0:1.00:0:0.76:0:0:0:0:0.96,2.29E3,5.01E3,1.00:2.18,12.77,,
,0.03,8.34,573.9271,2.17 - 2.43,1,191.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,573.9271,2.29,1.91E3,0:0:0:0:0:0:0:0:0:1.00,0,9.56E2,0:1.00,2.29,,
,0.03,8.34,1036.7691,20.11 - 20.24,2,773.5,-,-,0,-,-,0,1036.7706,20.21,1.49E3,-,-,0,1036.7683,20.22,2.79E3,1036.7683,20.19,3.45E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:1.87:2.32:0:0:0:0,9.67E2,0,1.00:0,20.21,,
,0.03,8.34,811.7903,11.24 - 11.30,1,35.3,-,-,0,811.7903,11.25,3.53E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,4.41E1,0,1.00:0,11.25,,
,0.03,8.34,484.8834,19.27 - 20.13,1,874.7,-,-,0,484.8835,19.96,2.77E3,-,-,0,-,-,0,-,-,0,-,-,0,484.8834,19.51,2.36E3,484.8834,19.90,3.61E3,-,-,0,-,-,0,0:1.00:0:0:0:0:0.85:1.31:0:0,1.09E3,0,1.00:0,19.79,,
,0.03,8.34,853.7678,14.51 - 14.56,1,28.3,-,-,0,853.7678,14.52,2.83E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.53E1,0,1.00:0,14.52,,
,0.03,8.34,758.7551,4.01 - 4.12,1,40.1,-,-,0,758.7551,4.06,4.01E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,5.01E1,0,1.00:0,4.06,,
,0.03,5.57,597.8210,19.27 - 19.95,1,401.3,-,-,0,-,-,0,-,-,0,-,-,0,597.8209,19.65,1.08E3,-,-,0,597.8211,19.40,7.5E2,-,-,0,597.8210,19.35,2.18E3,-,-,0,0:0:0:0:1.00:0:0.69:0:2.02:0,2.29E2,1.09E3,1.00:4.77,19.47,,
,0.03,3.84,277.8216,2.16 - 2.83,1,247.6,-,-,0,277.8217,2.17,3.46E2,-,-,0,277.8216,2.63,1.37E3,-,-,0,-,-,0,-,-,0,-,-,0,277.8216,2.35,7.65E2,-,-,0,0:1.00:0:3.94:0:0:0:0:2.21:0,2.14E2,3.82E2,1.00:1.79,2.38,,
,0.03,8.34,532.7935,1.98 - 2.06,3,58.3,-,-,0,-,-,0,-,-,0,-,-,0,532.7935,2.01,5.83E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0:0,7.29E1,0,1.00:0,2.01,,
,0.03,3.35,428.8466,8.66 - 14.52,1,2.9E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,428.8469,11.24,-,428.8470,9.92,7.88E3,428.8464,11.32,1.12E4,428.8459,11.94,7.04E3,-,-,0,0:0:0:0:0:-:1.00:1.43:0.89:0,2.73E3,3.52E3,1.00:1.29,11.11,,
,0.03,4.08,429.8610,12.80 - 14.36,1,543.7,429.8611,13.58,2.03E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,429.8611,13.11,1.55E3,-,-,0,-,-,0,429.8607,13.38,1.86E3,1.00:0:0:0:0:0:0.76:0:0:0.92,4.47E2,9.32E2,1.00:2.09,13.35,,
,0.03,4.46,793.8679,14.94 - 18.28,1,4.7E3,793.8685,16.89,1.93E4,793.8682,17.18,9.23E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,793.8669,17.59,1.87E4,2.09:1.00:0:0:0:0:0:0:0:2.02,3.56E3,9.33E3,1.00:2.62,17.22,,
,0.03,8.34,739.4297,3.96 - 4.73,1,1.2E3,739.4304,4.28,5.18E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,739.4284,4.24,3.01E3,739.4304,4.56,3.49E3,-,-,0,-,-,0,1.00:0:0:0:0:0:0.58:0.67:0:0,1.46E3,0,1.00:0,4.36,,
,0.03,4.90,838.7052,19.33 - 20.11,1,930.9,-,-,0,838.7041,19.72,2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,838.7069,19.83,3.06E3,-,-,0,838.7047,19.46,4.25E3,0:1.00:0:0:0:0:0:1.53:0:2.12,6.33E2,2.12E3,1.00:3.36,19.67,,
,0.03,3.21,646.7690,19.76 - 20.08,1,257.2,-,-,0,646.7701,19.88,1.15E3,-,-,0,646.7690,19.97,8.39E2,-,-,0,-,-,0,-,-,0,-,-,0,646.7679,20.03,5.81E2,-,-,0,0:1.00:0:0.73:0:0:0:0:0.50:0,2.49E2,2.9E2,1.00:1.17,19.96,,
,0.03,8.34,1256.4028,20.15 - 20.21,1,134.2,-,-,0,-,-,0,-,-,0,1256.4028,20.18,1.34E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,1.68E2,0,1.00:0,20.18,,
,0.03,7.19,1350.7103,20.12 - 20.22,1,1.1E3,1350.7100,20.15,3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1350.7054,20.21,3.31E3,1350.7156,20.18,4.33E3,1.00:0:0:0:0:0:0:0:1.10:1.44,3.75E2,3.82E3,1.00:10.18,20.18,,
,0.03,8.30,486.1601,4.65 - 4.95,1,147.7,-,-,0,-,-,0,486.1601,4.86,1.48E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,1.85E2,0,1.00:0,4.86,,
,0.03,8.30,681.7544,1.06 - 1.13,1,25.7,-,-,0,681.7544,1.10,2.57E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.21E1,0,1.00:0,1.10,,
,0.03,5.06,365.8593,0.56 - 2.27,1,1.4E3,-,-,0,-,-,0,-,-,0,365.8593,1.24,5.07E3,-,-,0,-,-,0,365.8593,1.28,2.13E3,-,-,0,-,-,0,365.8593,1.39,6.62E3,0:0:0:1.00:0:0:0.42:0:0:1.30,9E2,3.31E3,1.00:3.68,1.30,,
,0.03,4.22,984.2861,20.09 - 20.22,2,349.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,984.2880,20.16,7.57E2,984.2879,20.15,1.47E3,-,-,0,984.2824,20.16,1.27E3,0:0:0:0:0:0:1.00:1.95:0:1.68,2.79E2,6.34E2,1.00:2.27,20.15,,
,0.03,5.81,688.8415,16.04 - 20.26,1,1.5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,688.8400,16.72,6.3E3,688.8419,16.34,4.74E3,688.8425,16.61,3.79E3,0:0:0:0:0:0:0:1.00:0.75:0.60,7.87E2,4.26E3,1.00:5.42,16.56,,
,0.03,8.30,391.9826,0.25 - 0.35,1,376.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,391.9826,0.41,3.77E3,0:0:0:0:0:0:0:0:0:1.00,0,1.88E3,0:1.00,0.41,,
,0.03,8.30,913.7991,17.45 - 17.54,1,58.4,-,-,0,913.7991,17.47,5.84E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,7.3E1,0,1.00:0,17.47,,
,0.03,8.30,441.0060,0.25 - 0.47,6,825.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,441.0060,0.34,8.25E3,-,-,0,0:0:0:0:0:0:0:0:1.00:0,0,4.13E3,0:1.00,0.34,,
,0.03,8.30,365.1371,0.13 - 0.28,1,931.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,365.1371,0.14,9.31E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,1.16E3,0,1.00:0,0.14,,
,0.03,8.30,1429.7026,20.14 - 20.21,1,329.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1429.7026,20.18,3.29E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,4.11E2,0,1.00:0,20.18,,
,0.03,8.30,891.8169,16.40 - 16.49,1,202.8,-,-,0,-,-,0,891.8169,16.45,2.03E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0:0,2.53E2,0,1.00:0,16.45,,
,0.03,8.30,1349.7238,20.12 - 20.23,1,213.2,-,-,0,1349.7238,20.17,2.13E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.66E2,0,1.00:0,20.17,,
,0.03,8.30,610.1671,4.46 - 4.62,1,172.4,610.1671,4.54,1.72E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0:0,2.16E2,0,1.00:0,4.54,,
,0.03,8.30,800.8051,12.91 - 13.19,1,179.2,800.8043,12.92,5.31E2,800.8055,13.15,5.32E2,-,-,0,-,-,0,-,-,0,-,-,0,800.8054,13.16,7.3E2,-,-,0,-,-,0,-,-,0,1.00:1.00:0:0:0:0:1.37:0:0:0,2.24E2,0,1.00:0,13.07,,
,0.03,4.44,1024.7669,20.04 - 20.23,2,603,-,-,0,-,-,0,1024.7657,20.12,1.19E3,1024.7642,20.16,2.46E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1024.7708,20.11,2.37E3,0:0:1.00:2.06:0:0:0:0:0:1.99,4.57E2,1.19E3,1.00:2.59,20.13,,
,0.03,8.30,670.7839,16.11 - 16.51,1,280.1,670.7848,16.48,9.38E2,670.7849,16.31,1.17E3,670.7821,16.18,6.97E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0.80:1.00:0.60:0:0:0:0:0:0:0,3.5E2,0,1.00:0,16.32,,
,0.03,3.17,748.8387,18.91 - 20.22,1,2.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,748.8367,19.09,1.17E4,748.8389,19.13,4.86E3,-,-,0,748.8406,19.28,4.7E3,-,-,0,0:0:0:0:0:1.00:0.41:0:0.40:0,2.07E3,2.35E3,1.00:1.13,19.17,,
,0.03,3.88,667.8508,19.59 - 20.27,2,935.4,-,-,0,667.8510,20.21,4.98E3,-,-,0,-,-,0,-,-,0,-,-,0,667.8507,20.21,1.43E3,-,-,0,667.8506,20.21,2.95E3,-,-,0,0:1.00:0:0:0:0:0.29:0:0.59:0,8E2,1.48E3,1.00:1.84,20.21,,
,0.03,8.30,653.8184,6.68 - 11.96,1,2.9E4,-,-,0,-,-,0,653.8198,6.81,9.14E4,653.8181,6.96,1E5,653.8171,6.77,1.01E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.09:1.10:0:0:0:0:0,3.65E4,0,1.00:0,6.85,,
,0.03,4.86,588.7507,0.00 - 0.90,1,112.2,-,-,0,588.7510,0.79,3.69E2,-,-,0,-,-,0,-,-,0,-,-,0,588.7509,0.08,2.46E2,-,-,0,588.7502,0.05,5.07E2,-,-,0,0:1.00:0:0:0:0:0.67:0:1.37:0,7.69E1,2.54E2,1.00:3.30,0.31,,
,0.03,8.30,286.2023,0.12 - 0.34,1,1.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,286.2023,0.14,1.67E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0:0,2.09E3,0,1.00:0,0.14,,
,0.03,8.30,780.7514,16.80 - 20.11,1,1E4,-,-,0,780.7487,18.16,3.54E4,-,-,0,780.7496,18.15,3.61E4,-,-,0,-,-,0,780.7560,17.47,2.83E4,-,-,0,-,-,0,-,-,0,0:1.00:0:1.02:0:0:0.80:0:0:0,1.25E4,0,1.00:0,17.93,,
,0.03,8.30,1224.7522,20.11 - 20.22,2,1.3E3,1224.7554,20.17,4.41E3,1224.7484,20.17,5.72E3,-,-,0,-,-,0,1224.7528,20.15,3.16E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0.77:1.00:0:0:0.55:0:0:0:0:0,1.66E3,0,1.00:0,20.16,,
,0.03,8.30,1550.6504,20.15 - 20.21,1,335.3,-,-,0,1550.6504,20.17,3.35E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,4.19E2,0,1.00:0,20.17,,
,0.03,8.30,733.7667,4.36 - 4.43,1,21.4,-,-,0,733.7667,4.41,2.14E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,2.67E1,0,1.00:0,4.41,,
,0.03,8.30,442.3181,2.27 - 2.37,2,246.3,-,-,0,-,-,0,-,-,0,442.3185,2.34,9.81E2,442.3181,2.33,6.75E2,442.3178,2.34,8.06E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0.69:0.82:0:0:0:0,3.08E2,0,1.00:0,2.33,,
,0.03,3.41,843.7952,19.28 - 20.15,1,587.4,-,-,0,-,-,0,-,-,0,843.7948,20.11,1.67E3,-,-,0,-,-,0,843.7946,19.66,2.72E3,-,-,0,843.7964,20.05,1.48E3,-,-,0,0:0:0:1.00:0:0:1.63:0:0.89:0,5.49E2,7.4E2,1.00:1.35,19.94,,
,0.03,3.80,587.9802,2.84 - 3.11,1,262.4,-,-,0,-,-,0,587.9803,3.05,9.27E2,-,-,0,587.9802,3.05,9E2,-,-,0,-,-,0,-,-,0,-,-,0,587.9800,2.91,7.97E2,0:0:1.00:0:0.97:0:0:0:0:0.86,2.28E2,3.99E2,1.00:1.75,3.00,,
,0.03,3.24,602.7925,18.39 - 18.99,1,518.9,-,-,0,602.7927,18.71,2.61E3,-,-,0,602.7919,18.64,1.68E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,602.7928,18.76,8.99E2,0:1.00:0:0.64:0:0:0:0:0:0.34,5.36E2,4.49E2,1.00:0.84,18.70,,
,0.03,8.34,734.2956,17.56 - 17.65,2,37.9,-,-,0,734.2956,17.61,3.79E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,4.74E1,0,1.00:0,17.61,,
,0.03,6.03,464.8253,12.60 - 17.20,1,760.3,-,-,0,-,-,0,-,-,0,464.8240,12.71,7.18E2,-,-,0,464.8251,13.72,3.01E3,-,-,0,464.8257,14.95,3.57E3,-,-,0,464.8263,15.16,3.06E2,0:0:0:1.00:0:4.19:0:4.98:0:0.43,9.12E2,1.53E2,1.00:0.17,14.14,,
,0.03,5.46,822.7939,16.90 - 17.06,1,691.2,-,-,0,-,-,0,-,-,0,822.7941,16.97,3.24E3,-,-,0,-,-,0,-,-,0,-,-,0,822.7928,16.97,2.44E3,822.7949,16.97,1.24E3,0:0:0:1.00:0:0:0:0:0.75:0.38,4.04E2,1.84E3,1.00:4.55,16.97,,
,0.03,8.30,1260.4150,20.15 - 20.22,1,147.9,-,-,0,1260.4150,20.19,1.48E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,1.85E2,0,1.00:0,20.19,,
,0.03,8.30,505.0065,0.28 - 0.60,6,792.9,-,-,0,-,-,0,-,-,0,505.0065,0.50,7.93E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0:0,9.91E2,0,1.00:0,0.50,,
,0.03,8.30,530.8674,1.03 - 12.49,1,4.5E4,530.8676,6.03,1.62E5,-,-,0,-,-,0,530.8671,6.74,7.79E4,-,-,0,530.8679,6.89,1.22E5,-,-,0,530.8670,7.49,9.28E4,-,-,0,-,-,0,1.00:0:0:0.48:0:0.75:0:0.57:0:0,5.68E4,0,1.00:0,6.79,,
,0.03,8.30,758.7597,3.00 - 3.10,1,34.7,-,-,0,758.7597,3.05,3.47E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,4.33E1,0,1.00:0,3.05,,
,0.03,8.30,441.9382,1.08 - 1.36,1,557.5,441.9383,1.30,3.17E3,-,-,0,441.9381,1.30,2.41E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.76:0:0:0:0:0:0:0,6.97E2,0,1.00:0,1.30,,
,0.03,8.30,983.7265,19.77 - 20.16,1,933.2,983.7277,19.82,8.7E2,-,-,0,-,-,0,-,-,0,-,-,0,983.7250,19.95,5.13E3,983.7267,19.89,3.34E3,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:5.89:3.84:0:0:0,1.17E3,0,1.00:0,19.89,,
,0.03,8.30,750.6611,18.33 - 18.41,1,55.4,-,-,0,750.6611,18.35,5.54E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,6.93E1,0,1.00:0,18.35,,
,0.03,8.30,837.7902,6.79 - 6.86,1,28.8,-,-,0,837.7902,6.82,2.88E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0:0,3.6E1,0,1.00:0,6.82,,
,0.03,4.81,485.8881,13.82 - 17.78,1,629.9,-,-,0,485.8885,15.63,2.55E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,485.8879,13.89,9.37E2,485.8878,14.55,2.81E3,-,-,0,0:1.00:0:0:0:0:0:0.37:1.10:0,4.37E2,1.4E3,1.00:3.21,14.69,,
,0.03,3.70,633.8228,5.72 - 6.15,1,319.9,633.8214,5.83,1.23E3,-,-,0,633.8231,6.02,1.03E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,633.8239,5.82,9.31E2,-,-,0,1.00:0:0.84:0:0:0:0:0:0.75:0,2.83E2,4.66E2,1.00:1.64,5.89,,
,0.03,8.30,471.2755,3.20 - 3.27,1,86.4,471.2755,3.24,8.64E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0:0,1.08E2,0,1.00:0,3.24,,
,0.03,8.30,294.9821,0.00 - 0.19,8,434.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,294.9821,0.14,4.35E3,-,-,0,-,-,0,0:0:0:0:0:0:0:1.00:0:0,5.43E2,0,1.00:0,0.14,,
,0.03,8.30,804.7659,8.29 - 9.39,1,1.1E3,804.7679,8.50,1.41E3,804.7649,8.55,4.36E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,804.7649,8.55,4.75E3,-,-,0,-,-,0,0.32:1.00:0:0:0:0:0:1.09:0:0,1.31E3,0,1.00:0,8.54,,
